videoId,title_sentiment,description_sentiment
UqqsEYsMQP8,-0.25,-0.4939
N8vImyVX5pk,0.3182,0.955
CNgNzunfSSE,-0.1027,0.9866
cMv0M8SLIjk,-0.2656,0.9598
J9RAW4pHngc,0,0.6523
AAqKnXLUFl4,0,0
iAkL4FuG9Tk,-0.3182,0.9773
UVL0TSFa3RU,0.1779,0.9753
D8wAOaYEi7g,0,0
Bx1xyjSbetA,0,0
KbIBLQWQBcI,0,0.9468
TuTGIVnE3YE,0,0
iHmtF3KlGiM,0,-0.2942
c0t8nfZV_OM,0,0
GQDkRLRA4eU,0,0
FT6yhhfiUh8,0,0.9289
sxHpJEFm2l8,0.3254,0.9972
DwwwdsJt8m4,0,0
VjpAoR-jg9s,0,0.9001
-7CDFeLWlNY,0.3818,0.3612
puUhqdETm_s,0,-0.6908
9-rXGmu9TvY,0.0772,0.0772
iMECR6eQO_A,0,0.6808
oLPLIlg6dYU,0,0.8677
k8B7weS_L7w,0,0.9693
hhSl9TwZtK4,0,0.7794
gN7w4-VvUx8,0,0
U6qS0elOyGg,0,0
zbm0ZBGm8tI,0,0.1531
5MEKUQ9vYZI,-0.3382,0.9972
NXD4Qkw4KPg,0.4404,0.9564
HcBTYOOXX2o,0,0.8225
9d0tArY7w8Q,0.5859,0.7717
86tNxFXRq14,-0.296,0
FiBMxfhP-uE,0,0
SM7EXNwQiAY,0,-0.9007
7MJEZs59UBs,0.6369,0.9358
QT1wsrNNCZ0,0,0.9946
gOlcHWTbhrQ,0,0
qK-v2THphdk,0.4404,0.4215
dKFN11ZYe48,-0.4767,0.5883
x-A9P6wg_Ic,0,0
cMN1FCP7S94,0,0
PB_IA64TYV4,0,0.4767
KlghtgdPxtU,0,0
wJlSp67uZYU,0,0.9005
cBeWhLb9o7s,0,0.658
N5R7huknY_Y,0,0.3897
2P8RifQS9V8,0,0
RU1epJQzPTU,0,0.9105
torPyF-W5-o,0,0.8367
jf5GJuYlv50,0,0
TrlQGCWl_RY,0.4019,0
BCQkFEhGoRQ,0.368,0.5904
dhqPHLmdxLo,0,0
uY_dOShhBwU,0,0.9605
0g8taQwajlA,-0.8316,-0.969
GoPOX_46pZQ,0.2023,0.7261
O_reltYNfhA,0,-0.2263
G9kteO4jbJc,0.6369,0.93
tUAG6PTwfjQ,0,0
NKQJa2vvXoY,0.1779,0.8834
quOIEHH9Kd4,0.3612,0
iPK6aQXzG1g,0.5106,0.9002
Ys0VKUu1nHY,0,0
Vbk7mG0WMJg,0,0
CQr9PXEVimw,0.7184,0.9857
XrSWrwnPyCo,0.4404,0
9f6xCogGLVo,0,-0.9892
4FA43oTVYJI,0.8316,0.7003
R1E5CGjPf7U,0,-0.9892
R9Z0pvFrqSo,0.8625,0.9802
1LpNnX6i0jk,0.4466,0
fUzs7mGQ3Mc,0.5106,0.9682
4JhWyoYMjB8,0.5106,0.9002
FvOvgwLz0GE,0,0.8834
xx3bVpH-Hwk,0,0
qrK4MV8Q2G8,0,0
US-oBklKyy8,0,-0.5411
sbWnTUzrO4U,0,0.4588
xRAAdj02TnQ,0,0.3182
AUENmjhDXAc,0,0
0Yn9lRVB4qI,0.4466,0
0wbPApcIwjE,0,0.8834
aXl8vgD-ef8,0,0.5362
OcX8b8idxBg,0,0.9914
QIBggY1uQJA,0.636,0.9423
gH8zmxLEr_s,0,0.9164
0N-revNQH7U,-0.296,-0.5216
O4Tsm-jOwR4,0.6249,0.9919
9Xomu04g800,0.4019,0
DLrYDyLngGs,0,0.8834
fP3YeQSLIME,0,0
YogU9twB3j4,0,0
Gs1F4LZ8Alk,0,0
f5QlVGfjWKI,0,0
xqnKmoZEuUw,0,-0.4404
PvfLj5J7bGQ,0,0.8456
qzHTJSVG-bo,0,0
LfI78yF8ARs,-0.5574,-0.4039
zumxSbjB05E,0,0.8655
X890bXi4QLk,-0.2732,0.2808
Y53FP47S-e8,0,-0.4588
hHFnDE_PbtA,0,0
Thj5Sj-vqzw,0,0.7865
wAx4C_ij_w4,0,0.6166
gCtkuINy2z4,0.7297,0.9451
94p6MoiypIw,0.2732,-0.7612
JCYGoVsd6AA,0,0.6166
8Nykl6GM9GY,0,0.9068
Ops90sezeZQ,0,0.3424
qakm-I4wqIc,0,0.7443
12rvvXcYhxo,0,-0.0455
1wePZHgdHSM,0,0.4278
Le5lXI-n1Dc,0,-0.9635
2K92rPlBfZk,-0.296,0.2303
e9J79CuNHWk,0,-0.7528
vx3PkG8yhJo,0,0.4995
66TAK8ziIcE,0,0.8653
GKnO5q4fIt4,0,0.8011
GEsMAV_QAkU,0,0.893
LRBZFIGIMLM,0,0.4329
QjFbfYr9iJc,0,0
Z0Xkh9rPQrg,0.4404,0.886
bi7fEK8-g-g,0,0.8708
PBr7ClbLJLY,0.4404,0.9734
J8OUPywtK6s,0,-0.0098
O5ZR8MK6GUc,0.3182,0.8566
mX5FEv8Wnzc,-0.296,0.2627
jNaa9Z4z0Mc,0,0.8636
5j4UON-WvR4,0,-0.9802
fKPnrYdyx88,0.5574,0.2539
H7D9guXSFB4,0,0.7034
bryPna8fnQ8,-0.5106,0.8968
3WlX03mydT0,0,0.5483
YOk4K506Cr8,0,0.8101
ksyWR5jpHiA,0.0516,-0.2367
IFF01oOSnTw,0,0.9268
fzpyrEvh4Zg,0.0516,0
vyPKsDxIdso,-0.743,-0.9151
LpDi8JGw_8o,-0.3818,-0.8896
QowMx5U1yGI,-0.4767,0.9694
SMRLZGbjRkE,0.7184,0.8851
aadGiDqoTYo,0.5106,0.98
9XMe3K9A_IY,0,0.7901
kyw-5zrBsI0,0,0
WQTOAnWsZdI,0,0
WdnPAIFn32A,0,0.6249
tY1SpMniy0Q,0,0.9922
HI7XUJ5cwDQ,0,0.9983
UEWRPA3XDs0,0.8442,0.988
CvxVODoV19o,0,0
iABg1ZRszBs,0,0
b3BrtVOf8t8,0,0.7269
n4vWwOTcFEo,0.4199,0.658
fU8ORutVUTQ,0.7297,0.9451
KOi-fD0vw6E,0.4019,0.9451
s9Cxgwhy_tk,0,0.8658
SesSKPztvMs,0,0
u-EmXVCqEP4,0,0.4767
R2fOg8VssEE,0.3182,0.9094
JQs4QyKnYMQ,0,0.837
ljbsV2l1EOQ,0,0.8194
xutTzr87jo8,0,0.9556
oYoPkJqeIgc,0,0
ZPDbXRaB43o,0,0
k-GWPgQu4FA,0,0.75
P2B0nXEauws,-0.3818,0.9263
8vuJfHkIgLM,0,0.9314
5L_2LWtQMwE,0,0.3182
L-aRFDlQ2M0,0,0
IjIJ-fm0uKI,-0.8449,0.9117
xeuXlLcJruo,0.4588,0.942
anSVyDcH7OA,0,0
jBxvghlw-z8,0.7027,0.9743
ctIsA7FpYUo,0,0
E7uwvY_w0gM,0,0.8834
zj9eni-tmFA,0,0
aYp08eYg8dw,0,0.9477
uKKtNh8vJCM,0,0.4588
3UFgeGSbGM8,-0.69,0.9941
2bu71oPaf78,0,-0.296
aol6QLar3H0,0.34,0
friwp-WRZm0,0,0.954
rzzwTMsnslM,-0.5599,0.7862
zdwsnWdD4RI,0,0.4019
5kyVW4znYpU,0,0.8834
Gr_3sfIuDN8,0,0.8823
ALZHF5UqnU4,-0.25,0.9689
YnwsMEabmSo,-0.25,0.7345
FsDy-NL1Hng,0,0
WSFvu9pGk9U,0.8143,0
UDB98xy--1s,0,0
ZJDsd4uMNaA,0.1531,0.4215
RrPDcbY9vH4,0,0
sla0K0LEmXQ,-0.1027,0.0772
xQWAe_3mEEk,0,0.9571
d7Qi9jhR8Tg,0,0.9844
bn2oDADc3UI,-0.5106,0.694
iD4SwCOfNDY,0.6808,0.9525
FhZxVcYILe0,-0.5106,-0.9899
P4z_NkQDLRI,0,0.9716
iF1aSnV2U7M,0,0.9606
-gFFxcI4v4E,0,-0.6808
qvS4hl8wlGY,-0.8109,0.9497
bi179mWZ5aY,-0.6833,-0.6989
-1NVV7ufTNE,0,0.7184
JLgyGNzWvEs,-0.4215,0.9081
ZfjN9JHJUWc,-0.6369,-0.9491
Ii_hNuaCGdA,0,-0.2679
1l6s1YR5s5g,0,0
Uiy8gWL7IIY,0,0.9187
7Dxwf-X7Wq8,-0.4767,0.7448
0VckpLiCzP8,0,0
qI3ZnJA-pYo,0,0
9pEGG_GPOB8,-0.296,-0.296
pq3Tl_NsZp8,-0.7506,0.9176
