channelId,channel_commentCount,channel_viewCount,channel_videoCount,channel_subscriberCount
UC-TcXuEvtrdFm-UU9ZWsilw,0,1262,23,85
UCFw0BPxgu6IY7Og104Pdt0A,0,62,10,4
UC9a-Fv5mSXL13SidTWyj65g,5,63979110,31,371715
UCKMYrg58k3muz90hG0OSVhA,1817,757462489,1330,1463327
UC4rasfm9J-X4jNl9SvXp8xA,14640,6059201934,3020,8238287
UCs1t0WVwBvHCxgeBWylT0gQ,0,24070461,203,80334
UC50UyeZOHmRhVnhuPFLfjzQ,0,18753675,429,107058
UCLcUntFF_kV9mI4YjpAL1Qw,0,17514166,56,265781
UCJWjuv2e4_E1uQzPrQ4jFYA,0,1903524,747,9956
UCuf-eAmtbgNYVKsmzBg7LXw,0,529865,175,0
UCBbqfQ8vwyAD2vGhuFyUgxg,367,450443134,74,330043
UC4PziMH5MvvsmqM0VCZTy-g,0,498776440,438,1144332
UC45TGakhd-QcI_Y3WLMz3-g,0,611900262,427,1229861
UCOmgFmujG7IRrz4zeDfi-YQ,0,49786289,223,0
UC_A--fhX5gea0i4UtpD99Gg,0,90087104,874,475707
UCxLoSGQB806czLhfSb539sA,4,19869686,268,164630
UC0__JsQkHQcqdz-X_V6tYuQ,0,5617,8,46
UC6ga6ob19_0SZMYpHryeFEA,0,417314,226,836
UC-ZGkwWSE01hpp9rjVxlXQw,0,0,91,80
UCoPSQogEeB6PQf1qi90mW-g,0,0,41,77
UCUa8lZTr0MfHLJu5fNAXXMg,0,1,1,1
UCu-qQNeaTJpbWB-NayPsABg,0,1455281619,69,1984428
UCu-qQNeaTJpbWB-NayPsABg,0,1455281619,69,1984428
UCu-qQNeaTJpbWB-NayPsABg,0,1455281619,69,1984428
UCZcuze-pv5jhv9z4eiM94wg,0,314651494,171,0
UCa9jEMq1VboaveKTLugvLVQ,0,431566,3,1517
UC6FefgiqoMQrvsyrkWh_ojg,0,23425096,121,51590
UCVmAf8aBGwl3neZWTumpfyw,0,2023926,155,3752
UClBz0XaIv9muwI2T3UVIwGw,261,40712731,553,251483
UCXlAPVL4Asy7-pcMVWjRCfg,0,521228,73,7092
UClBz0XaIv9muwI2T3UVIwGw,261,40712731,553,251483
UClBz0XaIv9muwI2T3UVIwGw,261,40712731,553,251483
UC-S4CDpzYpuLNL88PxYzkTA,0,97069,23,2319
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
